SEXO;IDADE;GERAÇÃO;RENDA;CLASSEECONOMICA;UF;AREARISCO;FLAG_DE_SOCIO;FLAG_DE_VEICULO;FLAG_DE_BOLSAFAMILIA;FLAG_DE_APOSENTADOS;FLAG_DE_OBITO;FLAG_DE_IMOVEL;EMPREGO_FORMAL;SCORE;SCORE_FAIXA;PERSONADECREDITO;SCORE_DIGITAL;ACORDO
F;36;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;308;RISCO MÉDIO;QUEM SOU EU;Digital +;0
M;53;GEN X;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;0;1;571;RISCO BAIXO;SEMPRE PRESENTE;Digital --;1
F;22;GEN Z;2.001 ATÉ 3.000;D;SC;0;0;0;0;0;0;0;1;481;RISCO MÉDIO;QUEM SOU EU;Digital +;0
M;18;GEN Z;NULL;X;SC;0;0;0;0;0;0;0;0;0;RISCO MUITO ALTO;NOVOS ENTRANTES;Digital +;0
F;59;BABY_BOOMER;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;0;0;844;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
M;39;GEN Y;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;1;301;RISCO MÉDIO;QUEM SOU EU;Digital + -;0
F;28;GEN Y;ATÉ 1.000;E;PB;0;0;0;0;0;0;0;1;305;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
F;53;GEN X;ATÉ 1.000;E;SP;0;0;0;1;0;0;0;0;153;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;36;GEN Y;2.001 ATÉ 3.000;D;RJ;0;1;0;0;0;0;0;1;304;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
M;53;GEN X;ATÉ 1.000;E;SP;0;0;1;0;1;0;0;0;876;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
F;67;BABY_BOOMER;ATÉ 1.000;D;BA;0;0;0;0;1;0;0;1;252;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
F;62;BABY_BOOMER;1.000 ATÉ 2.000;D;SP;0;0;1;1;0;0;0;0;229;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
F;35;GEN Y;3.001 ATÉ 4.000;C;RJ;0;1;0;0;0;0;0;0;188;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
F;24;GEN Z;1.000 ATÉ 2.000;E;NULL;0;0;0;0;0;0;0;1;396;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
F;71;BABY_BOOMER;2.001 ATÉ 3.000;D;SP;0;0;0;0;1;0;0;1;14;RISCO MUITO ALTO;FUJAM DE MIM;Digital --;0
M;36;GEN Y;7.001 ATÉ 8.000;B;RJ;0;1;0;0;0;0;0;0;228;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;1
M;37;GEN Y;2.001 ATÉ 3.000;D;RJ;0;1;0;0;0;0;0;1;237;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
F;38;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;0;651;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;1
M;48;GEN X;4.001 ATÉ 5.000;C;SP;0;0;1;0;0;0;0;1;185;RISCO ALTO;PAGO QUANDO PUDER;Digital -;0
F;37;GEN Y;ATÉ 1.000;E;RJ;0;0;0;1;0;0;0;1;509;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;72;BABY_BOOMER;1.000 ATÉ 2.000;D;BA;0;1;0;0;1;0;0;0;187;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
F;36;GEN Y;2.001 ATÉ 3.000;D;RJ;0;0;0;0;0;0;0;1;378;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
M;37;GEN Y;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;0;85;RISCO MUITO ALTO;FUJAM DE MIM;Digital + -;0
M;28;GEN Y;1.000 ATÉ 2.000;D;MG;0;0;0;0;0;0;0;0;69;RISCO MUITO ALTO;FUJAM DE MIM;Digital + -;0
F;54;GEN X;ATÉ 1.000;E;SP;0;1;0;0;0;0;0;0;393;RISCO MÉDIO;QUEM SOU EU;Digital -;0
F;69;BABY_BOOMER;1.000 ATÉ 2.000;D;SP;0;0;0;0;1;1;0;0;154;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;53;GEN X;1.000 ATÉ 2.000;D;PR;0;0;0;0;0;0;0;0;869;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
M;35;GEN Y;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;0;694;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;53;GEN X;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;1;1;347;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;78;VETERANOS;ATÉ 1.000;E;AL;0;1;0;0;1;0;0;0;144;RISCO MUITO ALTO;FUJAM DE MIM;Digital --;0
